"","·ÎÁö½ºÆ½","·ÎÁö½ºÆ½ TF-IDF","SVM","SVM TF-IDF","Naive Bayes","Naive Bayes TF-IDF"
"1","0.8116","0.8214","0.8176","0.8168","0.831","0.828"
"2","0.8182","0.8368","0.8306","0.8336","0.8486","0.8478"
"3","0.8258","0.8418","0.8368","0.8416","0.8472","0.8486"
"4","0.831","0.8452","0.835","0.8426","0.8508","0.8532"
"5","0.8322","0.8438","0.836","0.8422","0.8518","0.8514"
"6","0.8348","0.8498","0.842","0.8502","0.8514","0.8526"
"7","0.8384","0.851","0.8452","0.8502","0.8514","0.853"
"8","0.8364","0.8514","0.8404","0.8518","0.8538","0.8528"
"9","0.8408","0.852","0.8444","0.8492","0.8534","0.853"
"10","0.8406","0.8528","0.8466","0.8526","0.855","0.8558"
